username,user_id,tweet_id,created_at,text,in_reply_to_user,retweet_count,like_count,reply_count,quote_count
Wendys,59553554,1.63827E+18,2023-03-21 19:53:38+00:00,"@pure_fox3 This isn’t the service we expect. Please DM us with info on this location, along with your email, and we'll make it up to you.",9.94E+17,0,1,0,0
Wendys,59553554,1.63827E+18,2023-03-21 19:51:53+00:00,"@violetisaghost We're disappointed to hear this. Please DM us with some additional details about your visit. Also, please provide us with your email so that we can follow up to make things right.",1.59E+18,0,0,0,0
Wendys,59553554,1.63819E+18,2023-03-21 14:39:25+00:00,@Ciabatta_Boi https://t.co/XtTwZVeNcM,1.46E+18,0,2,2,0
Wendys,59553554,1.63796E+18,2023-03-20 23:14:24+00:00,@Plentlyofcolin We're sorry to read this. Can you DM us the address of your visit and your email address/phone number?,4710756760,0,2,0,0
Wendys,59553554,1.63793E+18,2023-03-20 21:28:19+00:00,@Quasimfk We're disappointed to hear this. Please send us a DM with the store location.,1.52E+18,0,1,0,0
Wendys,59553554,1.63793E+18,2023-03-20 21:26:33+00:00,@kjdoherty1 We're sorry to hear this. Please send us a DM with the email address associated with your account so we can take a look.,8.08E+17,0,1,0,0
Wendys,59553554,1.63793E+18,2023-03-20 21:18:07+00:00,@OfSqueal We're sorry to hear this. Please send us a DM with your contact information.,1.32E+18,0,0,0,0
Wendys,59553554,1.63791E+18,2023-03-20 20:27:58+00:00,@sunm0re0ften We're sorry about this. Please send us a DM about your order so we can help. Thanks.,1.14E+18,0,0,0,0
Wendys,59553554,1.63791E+18,2023-03-20 20:11:33+00:00,@keltothelean That's not okay! DM us the restaurant location and your email so we can make this right. Thanks!,47088182,0,4,1,0
Wendys,59553554,1.63791E+18,2023-03-20 20:10:28+00:00,"@MaryNowakATL We're disappointed to hear this. Please DM us with your email, along with some additional details about your experience so that we can follow up to make things right.",1.52E+18,0,0,0,0
Wendys,59553554,1.63791E+18,2023-03-20 20:07:26+00:00,@addyjayeplays That doesn't look right! Please DM us the restaurant location and your email so we can make this right. Thanks!,48764462,0,1,0,0
Wendys,59553554,1.6379E+18,2023-03-20 19:47:59+00:00,@offmage We're sorry you had trouble reaching us. Please DM us so we can help.,1.48E+18,0,0,0,0
Wendys,59553554,1.63789E+18,2023-03-20 19:01:14+00:00,@roddyheffley91 We're disappointed to see this. Please send us a DM with the store location and your contact information.,1.63E+18,0,0,0,0
Wendys,59553554,1.63783E+18,2023-03-20 15:09:40+00:00,@snapefantasy We're sorry to see this. Please send us a DM with the email address associated with your account so we can help out.,18214113,0,0,0,0
Wendys,59553554,1.63754E+18,2023-03-19 19:24:17+00:00,"@PlutoHendrix24 We're disappointed to hear this, we'd like to gather some additional details about your visit. Please DM us with your email so that we can follow up.",1.26E+18,0,3,2,0
Wendys,59553554,1.63753E+18,2023-03-19 19:10:17+00:00,"@shanejones51 This isn’t the quality we expect. Please DM us with info on this location, along with your email, and we'll make it up to you.",1852055906,0,1,1,0
Wendys,59553554,1.63751E+18,2023-03-19 17:31:24+00:00,"@onIy_angel We'd love to make this right. DM us with info on this location, along with your email, and we'll make it up to you.",8.17E+17,0,2,0,0
Wendys,59553554,1.63725E+18,2023-03-19 00:47:03+00:00,@choctawchula We're sorry to see this. Can you DM us the address of your visit and your email address/phone number?,1.59E+18,0,3,2,0
Wendys,59553554,1.63676E+18,2023-03-17 16:01:45+00:00,@thinkabootiteh Thank you for bringing this to our attention. Can you DM us the address of this location? We will forward your feedback and make sure this is addressed.,1.54E+18,0,3,0,0
